"salesperson","year","month","dept","location","units_sold","order_amount","cost"
"Cristina",2004,"October","eye liner","south",260,512,422
"Jen",2006,"June","mascara","west",382,452,379
"Cici",2005,"March","foundation","south",88,484,398
"Betsy",2004,"March","foundation","south",157,537,412
"Ashley",2004,"December","mascara","west",28,267,156
"Ashley",2005,"November","eye liner","south",154,409,285
"Ashley",2004,"March","lipstick","south",78,524,371
"Cici",2004,"November","foundation","south",169,346,274
"Emilee",2006,"June","mascara","west",124,488,419
"Colleen",2006,"September","foundation","east",140,496,388
"Zaret",2005,"December","eye liner","west",40,491,393
"Colleen",2005,"October","mascara","east",90,276,167
"Colleen",2004,"January","lip gloss","midwest",137,431,366
"Colleen",2004,"February","lipstick","midwest",412,448,359
"Zaret",2006,"December","foundation","east",241,440,323
"Colleen",2005,"December","foundation","west",209,532,405
"Hallagan",2004,"June","lip gloss","west",152,463,344
"Betsy",2004,"October","mascara","midwest",185,420,317
"Cristina",2005,"December","lipstick","west",52,487,365
"Zaret",2005,"March","mascara","east",105,316,229
"Hallagan",2004,"October","lip gloss","south",173,406,356
"Cristina",2006,"October","lipstick","south",104,437,342
"Zaret",2004,"October","foundation","midwest",158,427,395
"Hallagan",2004,"May","lipstick","south",227,705,560
"Cici",2005,"July","lipstick","south",328,598,519
"Hallagan",2005,"December","eye liner","west",109,292,186
"Jen",2004,"October","eye liner","south",123,450,335
"Cici",2005,"May","foundation","midwest",189,342,317
"Cici",2006,"April","eye liner","west",265,543,403
"Cici",2006,"November","lip gloss","east",17,381,301
"Cici",2005,"July","foundation","east",228,635,565
"Colleen",2006,"March","lip gloss","west",216,389,338
"Jen",2005,"February","eye liner","south",283,630,520
"Emilee",2005,"December","lip gloss","west",64,556,385
"Hallagan",2006,"September","mascara","east",81,446,401
"Cici",2006,"November","lip gloss","midwest",271,509,399
"Jen",2006,"April","mascara","south",363,563,503
"Zaret",2005,"April","foundation","east",95,439,323
"Jen",2005,"March","mascara","midwest",110,333,265
"Ashley",2005,"April","eye liner","midwest",164,459,396
"Emilee",2006,"June","lip gloss","east",197,438,317
"Ashley",2005,"August","foundation","west",96,364,319
"Cici",2005,"November","lipstick","south",92,476,313
"Zaret",2004,"May","foundation","south",141,376,295
"Zaret",2005,"May","mascara","east",299,453,409
"Colleen",2005,"July","eye liner","west",166,394,306
"Emilee",2006,"July","eye liner","east",92,437,356
"Ashley",2006,"November","lip gloss","midwest",62,557,415
"Colleen",2004,"July","mascara","south",285,517,502
"Cristina",2004,"June","eye liner","east",87,451,378
"Emilee",2004,"November","eye liner","midwest",126,441,335
"Betsy",2005,"November","lipstick","east",230,465,366
"Cristina",2006,"November","mascara","west",64,427,346
"Betsy",2006,"January","lipstick","south",178,372,275
"Cristina",2006,"April","lip gloss","midwest",282,633,549
"Betsy",2005,"December","eye liner","east",50,494,413
"Cici",2004,"November","lip gloss","south",229,454,378
"Ashley",2006,"November","eye liner","east",73,417,258
"Emilee",2005,"February","eye liner","midwest",117,377,308
"Jen",2005,"February","foundation","east",169,512,411
"Jen",2004,"October","mascara","south",127,475,377
"Ashley",2004,"February","mascara","west",306,460,398
"Cici",2006,"November","lip gloss","east",246,564,465
"Betsy",2004,"August","mascara","east",75,498,394
"Cici",2004,"November","mascara","south",71,504,351
"Zaret",2005,"March","eye liner","midwest",289,540,405
"Emilee",2005,"June","mascara","west",289,510,443
"Hallagan",2004,"April","foundation","west",181,420,264
"Ashley",2004,"November","eye liner","east",148,393,267
"Cristina",2005,"November","foundation","west",121,451,344
"Emilee",2006,"November","eye liner","midwest",307,653,526
"Cici",2006,"December","foundation","east",141,404,288
"Colleen",2006,"June","lipstick","south",106,456,342
"Jen",2004,"May","mascara","west",287,579,473
"Cristina",2004,"November","mascara","midwest",39,419,286
"Cici",2006,"December","lip gloss","south",180,357,298
"Emilee",2004,"July","foundation","south",107,463,397
"Ashley",2006,"August","lip gloss","south",111,412,310
"Emilee",2004,"February","eye liner","west",108,450,364
"Zaret",2005,"December","foundation","west",244,553,484
"Betsy",2006,"May","lip gloss","midwest",238,474,391
"Zaret",2004,"November","lip gloss","south",102,425,262
"Cristina",2006,"December","mascara","midwest",124,566,411
"Ashley",2005,"August","eye liner","south",400,580,459
"Hallagan",2005,"June","lip gloss","midwest",406,427,318
"Cici",2005,"August","mascara","midwest",398,579,455
"Cici",2006,"June","foundation","south",109,519,390
"Emilee",2006,"June","mascara","midwest",341,488,401
"Zaret",2004,"September","foundation","east",68,485,412
"Jen",2005,"December","mascara","west",203,581,435
"Ashley",2006,"November","foundation","south",351,484,454
"Betsy",2006,"August","lip gloss","west",105,519,374
"Emilee",2005,"December","lip gloss","east",160,470,342
"Colleen",2004,"July","foundation","midwest",201,596,472
"Cici",2005,"November","foundation","east",271,624,510
"Betsy",2005,"December","foundation","west",44,467,352
"Cristina",2004,"December","lip gloss","south",47,328,283
"Betsy",2005,"December","eye liner","west",28,457,341
"Colleen",2006,"March","mascara","east",147,410,331
"Emilee",2005,"April","mascara","east",296,646,491
"Emilee",2004,"May","foundation","south",95,401,256
"Ashley",2005,"February","lip gloss","east",193,413,336
"Cici",2006,"October","lip gloss","west",106,341,246
"Betsy",2006,"September","lipstick","east",247,575,509
"Cici",2006,"July","mascara","midwest",197,465,365
"Emilee",2006,"November","eye liner","west",96,489,379
"Betsy",2006,"January","lip gloss","east",184,371,292
"Jen",2005,"August","lipstick","east",134,458,369
"Cici",2004,"May","lip gloss","midwest",117,284,213
"Cristina",2005,"November","lip gloss","west",276,555,473
"Emilee",2004,"December","lip gloss","west",353,504,390
"Colleen",2005,"November","eye liner","south",154,399,306
"Hallagan",2005,"October","eye liner","midwest",499,671,540
"Cici",2004,"January","lip gloss","west",338,609,503
"Emilee",2005,"December","mascara","south",228,551,457
"Ashley",2005,"December","lip gloss","west",303,531,375
"Jen",2006,"October","eye liner","midwest",139,474,380
"Ashley",2006,"September","lip gloss","south",132,514,384
"Cristina",2004,"November","lipstick","midwest",82,429,353
"Betsy",2006,"December","lip gloss","east",67,599,457
"Hallagan",2005,"May","foundation","south",185,404,303
"Emilee",2006,"December","foundation","west",91,319,279
"Emilee",2004,"November","lip gloss","midwest",86,548,417
"Cici",2006,"November","lipstick","south",157,419,275
"Ashley",2004,"December","foundation","east",45,342,297
"Cristina",2004,"December","foundation","south",138,382,274
"Ashley",2004,"August","mascara","east",236,552,433
"Cristina",2004,"November","lip gloss","midwest",212,586,507
"Cristina",2004,"July","lip gloss","south",38,438,342
"Zaret",2004,"March","lipstick","south",54,368,270
"Cristina",2006,"May","lipstick","south",329,611,507
"Hallagan",2006,"April","eye liner","west",317,581,519
"Cici",2006,"May","mascara","south",100,426,303
"Cici",2005,"November","foundation","west",236,703,547
"Betsy",2004,"March","lipstick","midwest",348,552,438
"Betsy",2006,"April","mascara","south",263,649,553
"Betsy",2005,"March","lipstick","south",111,485,394
"Betsy",2004,"January","foundation","west",110,422,360
"Ashley",2004,"January","foundation","west",98,381,244
"Zaret",2006,"September","eye liner","midwest",220,517,409
"Cristina",2005,"November","lip gloss","east",365,428,305
"Jen",2006,"May","lipstick","east",140,438,392
"Emilee",2005,"April","lip gloss","west",179,440,329
"Cici",2005,"June","lip gloss","south",462,381,292
"Zaret",2006,"June","lip gloss","midwest",75,532,467
"Betsy",2006,"February","lipstick","east",53,492,362
"Cici",2006,"August","lipstick","east",412,432,380
"Ashley",2004,"September","mascara","south",339,435,319
"Jen",2005,"June","eye liner","east",129,347,306
"Hallagan",2006,"May","mascara","east",75,441,301
"Cici",2006,"August","lip gloss","south",182,398,258
"Cici",2005,"March","lip gloss","south",106,426,375
"Zaret",2005,"November","mascara","west",52,413,349
"Zaret",2005,"January","lip gloss","east",162,424,338
"Zaret",2006,"March","eye liner","east",147,515,438
"Zaret",2005,"May","foundation","south",337,495,435
"Zaret",2005,"November","eye liner","west",60,457,340
"Cristina",2005,"September","foundation","east",252,453,362
"Betsy",2004,"January","foundation","east",230,652,575
"Cristina",2005,"November","mascara","west",171,528,401
"Ashley",2005,"June","foundation","south",45,482,357
"Emilee",2006,"March","mascara","south",71,279,199
"Colleen",2004,"November","lip gloss","midwest",115,478,416
"Colleen",2005,"July","mascara","west",399,530,417
"Cristina",2004,"May","foundation","south",288,483,423
"Cristina",2004,"July","foundation","south",202,719,625
"Jen",2006,"February","lip gloss","midwest",380,718,626
"Emilee",2004,"September","mascara","south",288,645,523
"Betsy",2006,"June","foundation","west",52,381,305
"Zaret",2005,"July","lip gloss","east",218,597,500
"Jen",2004,"May","mascara","south",328,504,395
"Ashley",2004,"April","lip gloss","midwest",448,517,353
"Ashley",2004,"September","lipstick","south",196,316,229
"Cici",2004,"November","lip gloss","east",303,575,430
"Cristina",2006,"February","mascara","midwest",285,520,384
"Emilee",2005,"July","lip gloss","east",126,482,383
"Hallagan",2006,"February","mascara","south",78,597,484
"Cici",2004,"May","foundation","midwest",318,388,354
"Ashley",2005,"December","foundation","west",263,589,461
"Colleen",2004,"August","lipstick","south",190,338,236
"Emilee",2004,"August","lip gloss","east",151,401,345
"Cristina",2006,"March","eye liner","midwest",128,426,382
"Hallagan",2005,"December","lip gloss","south",89,381,279
"Zaret",2006,"March","eye liner","east",18,463,331
"Emilee",2004,"December","eye liner","west",168,460,350
"Colleen",2006,"July","foundation","south",195,437,350
"Cristina",2006,"October","foundation","south",82,494,404
"Cristina",2006,"August","mascara","east",168,486,372
"Hallagan",2005,"April","eye liner","south",274,561,421
"Betsy",2005,"October","lipstick","east",263,692,570
"Hallagan",2006,"November","mascara","west",216,552,477
"Cici",2005,"January","mascara","midwest",98,464,352
"Colleen",2004,"May","foundation","south",129,511,399
"Cici",2004,"November","foundation","south",81,609,538
"Colleen",2005,"January","lip gloss","south",140,538,436
"Cristina",2004,"February","lipstick","midwest",190,363,223
"Colleen",2004,"September","lip gloss","west",63,331,226
"Cici",2004,"September","eye liner","east",140,482,377
"Betsy",2004,"May","lip gloss","south",112,201,157
"Ashley",2006,"December","eye liner","west",67,336,279
"Emilee",2006,"December","lip gloss","south",66,479,333
"Emilee",2005,"October","foundation","east",234,498,371
"Jen",2004,"March","foundation","midwest",162,402,301
"Betsy",2004,"July","lip gloss","east",37,459,357
"Hallagan",2006,"November","lip gloss","west",177,427,310
"Ashley",2006,"May","lip gloss","west",297,473,316
"Cristina",2005,"November","mascara","west",101,331,249
"Zaret",2005,"April","lip gloss","midwest",441,456,315
"Colleen",2005,"July","eye liner","west",79,358,280
"Emilee",2006,"November","eye liner","west",317,458,384
"Cici",2005,"June","foundation","east",394,562,438
"Betsy",2005,"April","foundation","east",319,371,290
"Cici",2006,"December","mascara","west",182,464,368
"Cici",2004,"July","foundation","midwest",98,531,478
"Colleen",2004,"May","lip gloss","east",91,345,263
"Emilee",2005,"November","eye liner","east",65,448,370
"Ashley",2005,"February","foundation","east",95,435,281
"Colleen",2005,"November","lip gloss","west",114,514,404
"Zaret",2004,"January","lipstick","west",202,659,546
"Hallagan",2006,"November","eye liner","south",482,410,354
"Cristina",2006,"June","eye liner","midwest",225,463,382
